Código DIVIPOLA;NOMBRE DEPARTAMENTO;NOMBRE MUNICIPIO;TOTAL
05001;Antioquia;Medellín;2427129
05002;Antioquia;Abejorral;20367
05004;Antioquia;Abriaquí;2695
05021;Antioquia;Alejandría;4657
05030;Antioquia;Amagá;30227
05031;Antioquia;Amalfi;25962
05034;Antioquia;Andes;43269
05036;Antioquia;Angelópolis;5756
05038;Antioquia;Angostura;11437
05040;Antioquia;Anorí;18321
05042;Antioquia;Santafé de Antioquia;26164
05044;Antioquia;Anza;7010
05045;Antioquia;Apartadó;121003
05051;Antioquia;Arboletes;29295
05055;Antioquia;Argelia;7689
05059;Antioquia;Armenia;5139
05079;Antioquia;Barbosa;51969
05086;Antioquia;Belmira;6000
05088;Antioquia;Bello;522264
05091;Antioquia;Betania;10323
05093;Antioquia;Betulia;15607
05101;Antioquia;Ciudad Bolívar;26118
05107;Antioquia;Briceño;8039
05113;Antioquia;Buriticá;9354
05120;Antioquia;Cáceres;28996
05125;Antioquia;Caicedo;8297
05129;Antioquia;Caldas;79638
05134;Antioquia;Campamento;9203
05138;Antioquia;Cañasgordas;15523
05142;Antioquia;Caracolí;4582
05145;Antioquia;Caramanta;4743
05147;Antioquia;Carepa;47932
05148;Antioquia;El Carmen de Viboral;59416
05150;Antioquia;Carolina;3954
05154;Antioquia;Caucasia;90213
05172;Antioquia;Chigorodó;57375
05190;Antioquia;Cisneros;9775
05197;Antioquia;Cocorná;15444
05206;Antioquia;Concepción;4797
05209;Antioquia;Concordia;21377
05212;Antioquia;Copacabana;77884
05234;Antioquia;Dabeiba;23044
05237;Antioquia;Don Matías;18902
05240;Antioquia;Ebéjico;12158
05250;Antioquia;El Bagre;51862
05264;Antioquia;Entrerrios;11159
05266;Antioquia;Envigado;228848
05282;Antioquia;Fredonia;24408
05284;Antioquia;Frontino;20739
05306;Antioquia;Giraldo;5544
05308;Antioquia;Girardota;51662
05310;Antioquia;Gómez Plata;9753
05313;Antioquia;Granada;10117
05315;Antioquia;Guadalupe;6560
05318;Antioquia;Guarne;55121
05321;Antioquia;Guatapé;8363
05347;Antioquia;Heliconia;5451
05353;Antioquia;Hispania;5469
05360;Antioquia;Itagui;276744
05361;Antioquia;Ituango;27074
05364;Antioquia;Jardín;14518
05368;Antioquia;Jericó;13640
05376;Antioquia;La Ceja;64889
05380;Antioquia;La Estrella;71545
05390;Antioquia;La Pintada;8114
05400;Antioquia;La Unión;21475
05411;Antioquia;Liborina;10028
05425;Antioquia;Maceo;8221
05440;Antioquia;Marinilla;64645
05467;Antioquia;Montebello;6680
05475;Antioquia;Murindó;4911
05480;Antioquia;Mutatá;13991
05483;Antioquia;Nariño;10153
05490;Antioquia;Necoclí;42281
05495;Antioquia;Nechí;25790
05501;Antioquia;Olaya;3127
05541;Antioquia;Peñol;21049
05543;Antioquia;Peque;8097
05576;Antioquia;Pueblorrico;8664
05579;Antioquia;Puerto Berrío;39314
05585;Antioquia;Puerto Nare;14380
05591;Antioquia;Puerto Triunfo;18055
05604;Antioquia;Remedios;28415
05607;Antioquia;Retiro;23514
05615;Antioquia;Rionegro;135465
05628;Antioquia;Sabanalarga;9032
05631;Antioquia;Sabaneta;82375
05642;Antioquia;Salgar;18258
05647;Antioquia;San Andrés de Cuerquía;7235
05649;Antioquia;San Carlos;16247
05652;Antioquia;San Francisco;5648
05656;Antioquia;San Jerónimo;15361
05658;Antioquia;San José de La Montaña;3646
05659;Antioquia;San Juan de Urabá;20093
05660;Antioquia;San Luis;12995
05664;Antioquia;San Pedro;21949
05665;Antioquia;San Pedro de Uraba;30932
05667;Antioquia;San Rafael;15698
05670;Antioquia;San Roque;21519
05674;Antioquia;San Vicente;22093
05679;Antioquia;Santa Bárbara;26784
05686;Antioquia;Santa Rosa de Osos;36318
05690;Antioquia;Santo Domingo;12394
05697;Antioquia;El Santuario;35422
05736;Antioquia;Segovia;37900
05756;Antioquia;Sonson;36321
05761;Antioquia;Sopetrán;15053
05789;Antioquia;Támesis;16281
05790;Antioquia;Tarazá;26964
05792;Antioquia;Tarso;6184
05809;Antioquia;Titiribí;10775
05819;Antioquia;Toledo;4993
05837;Antioquia;Turbo;124552
05842;Antioquia;Uramita;6888
05847;Antioquia;Urrao;30127
05854;Antioquia;Valdivia;13801
05856;Antioquia;Valparaíso;6498
05858;Antioquia;Vegachí;11810
05861;Antioquia;Venecia;11602
05873;Antioquia;Vigía del Fuerte;9093
05885;Antioquia;Yalí;7608
05887;Antioquia;Yarumal;41542
05890;Antioquia;Yolombó;22538
05893;Antioquia;Yondó;19040
05895;Antioquia;Zaragoza;24651
08001;Atlántico;Barranquilla;1206319
08078;Atlántico;Baranoa;62382
08137;Atlántico;Campo de La Cruz;22879
08141;Atlántico;Candelaria;15982
08296;Atlántico;Galapa;60708
08372;Atlántico;Juan de Acosta;20999
08421;Atlántico;Luruaco;28175
08433;Atlántico;Malambo;128203
08436;Atlántico;Manatí;19808
08520;Atlántico;Palmar de Varela;28932
08549;Atlántico;Piojó;6608
08558;Atlántico;Polonuevo;18197
08560;Atlántico;Ponedera;23848
08573;Atlántico;Puerto Colombia;49264
08606;Atlántico;Repelón;26200
08634;Atlántico;Sabanagrande;32334
08638;Atlántico;Sabanalarga;93261
08675;Atlántico;Santa Lucía;16023
08685;Atlántico;Santo Tomás;29829
08758;Atlántico;Soledad;603999
08770;Atlántico;Suan;11940
08832;Atlántico;Tubará;17377
08849;Atlántico;Usiacurí;12250
11001;BogotÃ¡ D.C;BOGOTÃ;7412566
13001;Bolívar;Cartagena;973045
13006;Bolívar;Achí;24352
13030;Bolívar;Altos del Rosario;10972
13042;Bolívar;Arenal;7365
13052;Bolívar;Arjona;69503
13062;Bolívar;Arroyohondo;8254
13074;Bolívar;Barranco de Loba;14836
13140;Bolívar;Calamar;22474
13160;Bolívar;Cantagallo;8234
13188;Bolívar;Cicuco;13442
13212;Bolívar;Córdoba;15960
13222;Bolívar;Clemencia;14511
13244;Bolívar;El Carmen de Bolívar;70131
13248;Bolívar;El Guamo;8647
13268;Bolívar;El Peñón;7651
13300;Bolívar;Hatillo de Loba;12317
