column,dtype,non_null_in_sample,nulls_in_sample,pct_null_in_sample,unique_count_estimate,top_values_sample,numeric_min,numeric_max,numeric_mean,numeric_std
NIT,category,926358,0,0.0,5340,900971006 (1952) | 900959048 (1874) | 890303461 (1868) | 860013779 (1807) | 899999092 (1791) | 899999032 (1771) | 900959051 (1765) | 830007355 (1707) | 900958564 (1700) | 900532504 (1636),,,,
Nombre Prestador,category,926358,0,0.0,5301,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS (2305) | SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E (1952) | SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E (1874) | EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO (1869) | E.S.E. HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA EMPRESA SOCIAL DEL ESTADO (1868) | ASOCIACION PROFAMILIA (1807) | INSTITUTO NACIONAL DE CANCEROLOGIA (1791) | EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA (1771) | SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E (1765) | DAVITA COLOMBIA SAS (1707),,,,
Departamento,category,926358,0,0.0,35,ANTIOQUIA (122262) | VALLE DEL CAUCA (70151) | BOGOTA (65664) | ATLANTICO (49707) | NARIÑO (43766) | SANTANDER (42619) | BOYACA (41369) | BOLIVAR (38630) | CESAR (37301) | CUNDINAMARCA (37258),,,,
Municipio,category,926358,0,0.0,850,"BOGOTA, D.C. (65664) | MEDELLIN (53297) | CALI (33910) | BARRANQUILLA (30504) | PROVEEDOR (24882) | CARTAGENA (22332) | VALLEDUPAR (19674) | PASTO (19062) | MANIZALES (16767) | BUCARAMANGA (14901)",,,,
codigo dane,category,926358,0,0.0,902,11001 (66011) | 5001 (52347) | 76001 (34325) | 8001 (29823) | 12345 (24522) | 13001 (23031) | 20001 (19432) | 52001 (19289) | 17001 (16663) | 68001 (15290),,,,
Codigo EPS,category,926358,0,0.0,78,EPSS41 (62843) | EPSS02 (50065) | ESS062 (42647) | CCF055 (41026) | EPS005 (39970) | EPSS05 (39949) | ESS024 (38846) | EPSS10 (35807) | EPS010 (34642) | EPS017 (32610),,,,
EPS,category,926358,0,0.0,37,NUEVA EPS (119319) | SANITAS (79919) | SURAMERICANA (70449) | FAMISANAR (61863) | SALUD TOTAL (60609) | ASMET SALUD (56071) | EMSSANAR (47697) | COOSALUD (46997) | MUTUAL SER (43415) | CAJACOPI (41252),,,,
Regimen,category,926358,0,0.0,2,Subsidiado (635245) | Contributivo (291113),,,,
Naturaleza,category,926358,0,0.0,4,Privada (497503) | Publica (400013) | Proveedor (24887) | Mixta (3955),,,,
Fecha Proceso,datetime64[ns],926358,0,0.0,345,2025-09-01 (10645) | 2024-09-01 (10612) | 2025-01-01 (10611) | 2020-08-01 (10565) | 2020-10-01 (10552) | 2025-02-01 (10470) | 2020-09-01 (10429) | 2024-06-01 (10391) | 2024-04-01 (10373) | 2024-08-01 (10358),,,,
Descripcion,category,926358,0,0.0,5,Proceso LMA (635245) | 2DO PROCESO (93199) | 3ER PROCESO (74709) | 1ER PROCESO (72019) | 4TO PROCESO (51186),,,,
Valor Programado,int64,926358,0,0.0,816153,1000000 (5312) | 10000000 (3860) | 20000000 (2881) | 30000000 (2442) | 100000000 (2440) | 50000000 (2430) | 5000000 (1745) | 2000000 (1728) | 40000000 (1640) | 15000000 (1527),0.0,143751064696.0,192673794.5466472,1003281677.7831206
Fecha Giro,datetime64[ns],925949,409,0.04,854,2020-09-07 (10734) | 2025-06-10 (10683) | 2020-06-05 (10547) | 2020-08-10 (10484) | 2020-10-07 (10452) | 2020-05-08 (10447) | 2025-03-07 (10341) | 2025-09-05 (10212) | 2025-02-07 (10128) | 2020-07-07 (10034),,,,
Valor Girado,float64,925968,390,0.04,815929,1000000.0 (5302) | 10000000.0 (3859) | 20000000.0 (2880) | 100000000.0 (2438) | 30000000.0 (2438) | 50000000.0 (2427) | 5000000.0 (1745) | 2000000.0 (1728) | 40000000.0 (1634) | 15000000.0 (1525),0.0,143751064696.0,192726103.69898096,1003458179.4017543
Comunicacion Super Salud,category,28305,898053,96.94,206,nan (898053) | 20253200101204241 (597) | 20253200101557511 (558) | 20243200101602091 (556) | 20253200101731861 (538) | 20243200101394661 (533) | 20253200100209611 (528) | 20243200100966441 (506) | 20243200101188141 (505) | 20243200101985571 (496),,,,
Fecha comunicacion Super Salud,datetime64[ns],28195,898163,96.96,146,NaT (898163) | 2024-11-01 (704) | 2024-08-02 (685) | 2024-04-16 (665) | 2024-07-22 (597) | 2025-06-03 (597) | 2025-02-07 (562) | 2025-07-10 (558) | 2024-09-05 (552) | 2025-07-30 (538),,,,
Radicado ADRES,category,197382,728976,78.69,350,nan (728976) | 20253210008783 (4316) | 20253210050193 (3792) | 20243210556023 (3734) | 20253210031803 (3577) | 20253210021833 (3321) | 20253210040683 (3250) | 20243210136463 (3190) | 20253210001493 (3153) | 20253210030663 (3100),,,,
Fecha Radicacion ADRES,datetime64[ns],387893,538465,58.13,273,NaT (538465) | 2025-08-08 (11023) | 2025-06-06 (10684) | 2025-09-04 (10212) | 2025-01-14 (9764) | 2024-09-05 (9676) | 2025-02-06 (9495) | 2024-08-06 (9336) | 2024-05-07 (9246) | 2024-06-06 (9213),,,,
Fecha disposicion archivo EPS,datetime64[ns],179521,746837,80.62,278,NaT (746837) | 2024-07-05 (3186) | 2025-01-10 (2929) | 2025-07-10 (2595) | 2024-09-12 (2560) | 2024-11-08 (2381) | 2025-04-16 (2353) | 2025-03-13 (2312) | 2025-02-13 (2280) | 2024-06-14 (2280),,,,
Observacion,category,39893,886465,95.69,536,"nan (886465) | COMPLEMENTO: Giro, con cargo a los $725.688.534.266,49  no aplicados en el proceso de la LMA, conforme el cargue realizado via plataforma PISIS del 10 de abril de 2024 en aplicaci¾n a la Resoluci¾n 2024160000003012-6 del 03 de abril de 2024 (2535) | COMPLEMENTO: Giro, con cargo a los $162.039.408.990,56  no aplicados en el proceso de la LMA, conforme el cargue realizado via plataforma PISIS del 10 de abril de 2024 en aplicaci¾n a la Resoluci¾n 2024160000003002-6 del 02 de abril de 2024. (987) | COMPLEMENTO: Giro, con cargo a los $191.251.694.699,12 no aplicados en el proceso de LMA, atendiendo comunicaci¾n de la SNS n·mero 20233200100870561 del 26 de mayo, allegada a la ADRES en correo electr¾nico del 29 de mayo de 2023. (625) | Giro, con cargo a los $178.455.329.123,00 no aplicados en el proceso de la LMA, atendiendo comunicaci¾n de la SNS 20253200101204241 del 03 de junio de 2025, allegada a la ADRES en correo electr¾nico de la misma fecha, dado que el 6 de junio de 2025 se cert (597) | Giro, con cargo a los$178.943.367.418,00 no aplicados en el proceso de la LMA, atendiendo comunicaci¾n de la SNS 20253200101557511 del 9 de julio de 2025, allegada a la ADRES en correo electr¾nico del 10 de julio de 2025. (556) | COMPLEMENTO: Giro, con cargo a los $169.507.219.525,99 no aplicados en el proceso de la LMA, atendiendo comunicaci¾n 20243200101602091 del 2 de agosto de 2024, allegada a la ADRES en correo electr¾nico de la misma fecha. (555) | Giro, con cargo a los $185.529.236.633,00  no aplicados en el proceso de la LMA, atendiendo comunicaci¾n de la SNS 20253200101731861 del 08 de agosto de 2025, allegada a la ADRES en correo electr¾nico de la misma fecha. (537) | COMPLEMENTO: Giro, con cargo a los $170.399.194.922,00  no aplicados en el proceso de la LMA, atendiendo comunicaci¾n 20243200101394661 del 10 de julio de 2024, allegada a la ADRES en correo electr¾nico de la misma fecha. (532) | COMPLEMENTO:  Giro, con cargo a los $164.708.335.666,86 no aplicados en el proceso de LMA, atendiendo comunicaci¾n de la SNS n·mero 20233200101274051 del 3 de agosto, allegada a la ADRES en correo electr¾nico de la misma fecha. (528)",,,,
